Modality,Annotation Size,PSNR_loss
unet_shuffle_inception_no_progressive,356.5,
unet_shuffle_inception_no_progressive,132.25,
unet_shuffle_inception_no_progressive,86.5,
unet_shuffle_inception_no_progressive,119.0,
unet_shuffle_inception_no_progressive,112.5,
unet_shuffle_inception_no_progressive,140.0,
unet_shuffle_inception_no_progressive,29.0,
unet_shuffle_inception_no_progressive,51.0,
unet_shuffle_inception_no_progressive,131.0,
unet_shuffle_inception_no_progressive,212.25,
unet_shuffle_inception_no_progressive,260.0,
unet_shuffle_inception_no_progressive,341.25,
unet_shuffle_inception_no_progressive,378.75,
unet_shuffle_inception_no_progressive,400.5,
unet_shuffle_inception_no_progressive,429.25,
unet_shuffle_inception_no_progressive,454.75,
unet_shuffle_inception_no_progressive,457.5,
unet_shuffle_inception_no_progressive,447.0,
unet_shuffle_inception_no_progressive,432.25,
unet_shuffle_inception_no_progressive,400.0,
unet_shuffle_inception_no_progressive,367.75,
unet_shuffle_inception_no_progressive,305.0,
unet_shuffle_inception_no_progressive,213.5,
unet_shuffle_inception_no_progressive,109.5,
unet_shuffle_inception_no_progressive,5.0,
unet_shuffle_inception_no_progressive,16.5,
unet_shuffle_inception_no_progressive,11.5,
unet_shuffle_inception_no_progressive,41.0,
unet_shuffle_inception_no_progressive,61.3333333333,
unet_shuffle_inception_no_progressive,72.6666666667,
unet_shuffle_inception_no_progressive,72.0,
unet_shuffle_inception_no_progressive,70.3333333333,
unet_shuffle_inception_no_progressive,30.6666666667,
unet_shuffle_inception_no_progressive,33.5,
unet_shuffle_inception_no_progressive,34.5,
unet_shuffle_inception_no_progressive,36.5,
unet_shuffle_inception_no_progressive,36.875,
unet_shuffle_inception_no_progressive,58.25,
unet_shuffle_inception_no_progressive,21.5,
unet_shuffle_inception_no_progressive,28.3333333333,
unet_shuffle_inception_no_progressive,73.0,
unet_shuffle_inception_no_progressive,61.0,
unet_shuffle_inception_no_progressive,42.0,
unet_shuffle_inception_no_progressive,43.5,
unet_shuffle_inception_no_progressive,6.66666666667,
unet_shuffle_inception_no_progressive,40.25,
unet_shuffle_inception_no_progressive,37.25,
unet_shuffle_inception_no_progressive,30.75,
unet_shuffle_inception_no_progressive,44.6666666667,
unet_shuffle_inception_no_progressive,87.6666666667,
unet_shuffle_inception_no_progressive,105.0,
unet_shuffle_inception_no_progressive,23.5,
unet_shuffle_inception_no_progressive,36.1666666667,
unet_shuffle_inception_no_progressive,36.4,
unet_shuffle_inception_no_progressive,32.6666666667,
unet_shuffle_inception_no_progressive,70.5,
unet_shuffle_inception_no_progressive,150.5,
unet_shuffle_inception_no_progressive,71.25,
unet_shuffle_inception_no_progressive,44.0,
unet_shuffle_inception_no_progressive,34.0,
unet_shuffle_inception_no_progressive,91.0,
unet_shuffle_inception_no_progressive,15.3333333333,
unet_shuffle_inception_no_progressive,29.25,
unet_shuffle_inception_no_progressive,33.25,
unet_shuffle_inception_no_progressive,16.25,
unet_shuffle_inception_no_progressive,58.75,
unet_shuffle_inception_no_progressive,86.25,
unet_shuffle_inception_no_progressive,146.25,
unet_shuffle_inception_no_progressive,201.5,
unet_shuffle_inception_no_progressive,225.0,
unet_shuffle_inception_no_progressive,247.5,
unet_shuffle_inception_no_progressive,257.0,
unet_shuffle_inception_no_progressive,265.75,
unet_shuffle_inception_no_progressive,278.0,
unet_shuffle_inception_no_progressive,199.25,
unet_shuffle_inception_no_progressive,147.75,
unet_shuffle_inception_no_progressive,73.6666666667,
unet_shuffle_inception_no_progressive,39.0,
unet_shuffle_inception_no_progressive,32.3333333333,
unet_shuffle_inception_no_progressive,9.5,
unet_shuffle_inception_no_progressive,77.25,
unet_shuffle_inception_no_progressive,93.5,
