Modality,Annotation Size,TP
unet_shuffle_inception_no_progressive,53.0,0.009078804674862764
unet_shuffle_inception_no_progressive,41.5,0.010814529637856942
unet_shuffle_inception_no_progressive,24.5,5.532141039157985
unet_shuffle_inception_no_progressive,49.5,6.56410325927922e-05
unet_shuffle_inception_no_progressive,53.5,0.00013873786520000002
unet_shuffle_inception_no_progressive,87.0,13.976227815820046
unet_shuffle_inception_no_progressive,2.0,7.093329829308594e-05
unet_shuffle_inception_no_progressive,3.0,1.5754168025240648e-05
unet_shuffle_inception_no_progressive,9.0,0.0027819789952765015
unet_shuffle_inception_no_progressive,92.0,0.00277480950353735
unet_shuffle_inception_no_progressive,88.0,9.55805007834e-05
unet_shuffle_inception_no_progressive,116.0,24.06322665058693
unet_shuffle_inception_no_progressive,64.0,3.77991090090275e-05
unet_shuffle_inception_no_progressive,37.0,4.8205146470016835
unet_shuffle_inception_no_progressive,25.0,2.472708807383812
unet_shuffle_inception_no_progressive,8.0,0.48906757700341524
unet_shuffle_inception_no_progressive,220.25,3.71250062017e-05
unet_shuffle_inception_no_progressive,434.5,0.00096495001344
unet_shuffle_inception_no_progressive,464.25,2.73360323906
unet_shuffle_inception_no_progressive,356.5,46.932510376
unet_shuffle_inception_no_progressive,132.25,3.04614257812
unet_shuffle_inception_no_progressive,86.5,5.04325089423e-06
unet_shuffle_inception_no_progressive,119.0,0.01253184287997225
unet_shuffle_inception_no_progressive,112.5,8.41281143948e-05
unet_shuffle_inception_no_progressive,140.0,1.58772411885e-10
unet_shuffle_inception_no_progressive,29.0,1.5188349246865684
unet_shuffle_inception_no_progressive,51.0,6.463755589043582
unet_shuffle_inception_no_progressive,131.0,2.13299311547e-09
unet_shuffle_inception_no_progressive,212.25,3.23317241036e-11
unet_shuffle_inception_no_progressive,260.0,2.30712970701e-14
unet_shuffle_inception_no_progressive,341.25,2.38958941523e-09
unet_shuffle_inception_no_progressive,378.75,5.24043230143e-07
