Modality,Annotation Size,TN
unet_shuffle_inception_no_progressive,8.5,262131.796875
unet_shuffle_inception_no_progressive,26.6666666667,262124.890625
unet_shuffle_inception_no_progressive,49.6666666667,262090.828125
unet_shuffle_inception_no_progressive,45.6666666667,262079.921875
unet_shuffle_inception_no_progressive,27.3333333333,262133.9375
unet_shuffle_inception_no_progressive,52.6666666667,262068.515625
unet_shuffle_inception_no_progressive,39.6666666667,262110.5625
unet_shuffle_inception_no_progressive,14.3333333333,262026.328125
unet_shuffle_inception_no_progressive,179.666666667,262032.84375
unet_shuffle_inception_no_progressive,268.333333333,261819.953125
unet_shuffle_inception_no_progressive,55.0,262101.7890625
unet_shuffle_inception_no_progressive,6.5,262136.4375
unet_shuffle_inception_no_progressive,39.5,262086.4921875
unet_shuffle_inception_no_progressive,38.25,262102.171875
unet_shuffle_inception_no_progressive,61.25,262011.734375
unet_shuffle_inception_no_progressive,85.75,261837.359375
unet_shuffle_inception_no_progressive,98.75,261750.109375
unet_shuffle_inception_no_progressive,97.25,261838.796875
unet_shuffle_inception_no_progressive,66.75,262044.34375
unet_shuffle_inception_no_progressive,41.3333333333,262118.046875
unet_shuffle_inception_no_progressive,84.0,262026.625
unet_shuffle_inception_no_progressive,108.666666667,262003.140625
unet_shuffle_inception_no_progressive,149.0,262024.75
unet_shuffle_inception_no_progressive,163.666666667,261909.25
unet_shuffle_inception_no_progressive,159.666666667,261917.78125
unet_shuffle_inception_no_progressive,190.333333333,261964.765625
unet_shuffle_inception_no_progressive,260.333333333,261923.640625
unet_shuffle_inception_no_progressive,304.0,261850.265625
unet_shuffle_inception_no_progressive,272.666666667,261922.296875
unet_shuffle_inception_no_progressive,233.0,261957.15625
unet_shuffle_inception_no_progressive,243.0,261822.75
unet_shuffle_inception_no_progressive,253.0,261882.4375
unet_shuffle_inception_no_progressive,238.0,261847.4375
unet_shuffle_inception_no_progressive,227.333333333,261854.984375
unet_shuffle_inception_no_progressive,250.0,261826.03125
unet_shuffle_inception_no_progressive,136.0,261993.359375
unet_shuffle_inception_no_progressive,58.0,262088.55729166666
unet_shuffle_inception_no_progressive,94.6666666667,262044.953125
unet_shuffle_inception_no_progressive,118.333333333,261985.9375
unet_shuffle_inception_no_progressive,121.333333333,262044.875
unet_shuffle_inception_no_progressive,321.666666667,261812.953125
unet_shuffle_inception_no_progressive,367.666666667,261782.390625
unet_shuffle_inception_no_progressive,413.333333333,261717.828125
unet_shuffle_inception_no_progressive,362.333333333,261819.390625
unet_shuffle_inception_no_progressive,346.0,261855.921875
unet_shuffle_inception_no_progressive,339.666666667,261842.546875
unet_shuffle_inception_no_progressive,341.0,261771.03125
unet_shuffle_inception_no_progressive,240.0,261858.1875
unet_shuffle_inception_no_progressive,228.666666667,261948.953125
unet_shuffle_inception_no_progressive,200.0,261950.828125
unet_shuffle_inception_no_progressive,217.333333333,261932.640625
unet_shuffle_inception_no_progressive,196.666666667,261934.96875
unet_shuffle_inception_no_progressive,173.5,261936.921875
unet_shuffle_inception_no_progressive,142.0,262001.9375
unet_shuffle_inception_no_progressive,168.0,261975.953125
unet_shuffle_inception_no_progressive,193.0,261950.90625
unet_shuffle_inception_no_progressive,146.0,261997.90625
unet_shuffle_inception_no_progressive,158.0,261985.90625
unet_shuffle_inception_no_progressive,81.0,262062.4765625
unet_shuffle_inception_no_progressive,48.75,262086.359375
unet_shuffle_inception_no_progressive,75.25,262074.71875
unet_shuffle_inception_no_progressive,62.75,262085.1328125
unet_shuffle_inception_no_progressive,56.25,262089.0
unet_shuffle_inception_no_progressive,37.75,262120.28125
unet_shuffle_inception_no_progressive,96.0,262038.46875
unet_shuffle_inception_no_progressive,156.0,261972.609375
unet_shuffle_inception_no_progressive,145.0,261997.578125
unet_shuffle_inception_no_progressive,171.0,261913.7734375
unet_shuffle_inception_no_progressive,87.5,261976.0
