Modality,Annotation Size,FN
unet_shuffle_inception_no_progressive,16.5,15.6364490986
unet_shuffle_inception_no_progressive,11.5,6.490863919260001
unet_shuffle_inception_no_progressive,41.0,30.3293586492538
unet_shuffle_inception_no_progressive,61.3333333333,76.0
unet_shuffle_inception_no_progressive,72.6666666667,63.9999923706
unet_shuffle_inception_no_progressive,72.0,76.66608428956667
unet_shuffle_inception_no_progressive,70.3333333333,74.9999923706
unet_shuffle_inception_no_progressive,30.6666666667,28.333077112833333
unet_shuffle_inception_no_progressive,33.5,23.3318223953
unet_shuffle_inception_no_progressive,34.5,45.9997138977
unet_shuffle_inception_no_progressive,36.5,28.4993429184
unet_shuffle_inception_no_progressive,36.875,44.0
unet_shuffle_inception_no_progressive,58.25,19.5675430298
unet_shuffle_inception_no_progressive,21.5,14.0518217087
unet_shuffle_inception_no_progressive,28.3333333333,23.9984178543
unet_shuffle_inception_no_progressive,73.0,40.1711921692
unet_shuffle_inception_no_progressive,61.0,41.8819732666
unet_shuffle_inception_no_progressive,42.0,35.869789123524995
unet_shuffle_inception_no_progressive,43.5,48.66660435993333
unet_shuffle_inception_no_progressive,6.66666666667,10.9948472977
unet_shuffle_inception_no_progressive,40.25,16.439436435725
unet_shuffle_inception_no_progressive,37.25,5.73874282837
unet_shuffle_inception_no_progressive,30.75,34.9999961853
unet_shuffle_inception_no_progressive,44.6666666667,61.9999847412
unet_shuffle_inception_no_progressive,87.6666666667,60.999628067
unet_shuffle_inception_no_progressive,105.0,91.9890365601
unet_shuffle_inception_no_progressive,23.5,22.9970140457
unet_shuffle_inception_no_progressive,36.1666666667,39.9999465942
unet_shuffle_inception_no_progressive,36.4,16.9994316101
unet_shuffle_inception_no_progressive,32.6666666667,36.4999809265
unet_shuffle_inception_no_progressive,70.5,65.0
unet_shuffle_inception_no_progressive,150.5,143.0
unet_shuffle_inception_no_progressive,71.25,60.5
unet_shuffle_inception_no_progressive,44.0,41.977058410649995
unet_shuffle_inception_no_progressive,34.0,36.777502271866666
unet_shuffle_inception_no_progressive,91.0,91.0
