Modality,Annotation Size,Sensitivity
unet_shuffle_inception_no_progressive,21.5,0.546715414806532
unet_shuffle_inception_no_progressive,28.3333333333,6.088732203519508e-05
unet_shuffle_inception_no_progressive,73.0,0.3880666541461535
unet_shuffle_inception_no_progressive,61.0,0.31126436841540595
unet_shuffle_inception_no_progressive,42.0,0.1459574016549103
unet_shuffle_inception_no_progressive,43.5,1.2347385975814214e-06
unet_shuffle_inception_no_progressive,6.66666666667,0.0004684313351686
unet_shuffle_inception_no_progressive,40.25,0.40583898965213283
unet_shuffle_inception_no_progressive,37.25,0.7704502868649246
unet_shuffle_inception_no_progressive,30.75,1.0790053510085085e-07
unet_shuffle_inception_no_progressive,44.6666666667,2.400840267095661e-07
unet_shuffle_inception_no_progressive,87.6666666667,4.1081199841066476e-06
unet_shuffle_inception_no_progressive,105.0,0.0001192038896537
unet_shuffle_inception_no_progressive,23.5,0.0001416896534084032
unet_shuffle_inception_no_progressive,36.1666666667,1.2762079520160254e-06
unet_shuffle_inception_no_progressive,36.4,3.3509624008181695e-05
unet_shuffle_inception_no_progressive,32.6666666667,5.003373572776352e-07
unet_shuffle_inception_no_progressive,70.5,1.8866113599230414e-14
unet_shuffle_inception_no_progressive,150.5,5.0767328178681415e-11
unet_shuffle_inception_no_progressive,71.25,3.157308254738293e-11
unet_shuffle_inception_no_progressive,44.0,0.08006687251465243
unet_shuffle_inception_no_progressive,34.0,8.132031002015872e-06
unet_shuffle_inception_no_progressive,91.0,1.5894585708656057e-12
unet_shuffle_inception_no_progressive,15.3333333333,0.0002276865287781
unet_shuffle_inception_no_progressive,29.25,0.052675780104954
unet_shuffle_inception_no_progressive,33.25,0.0320976285917301
unet_shuffle_inception_no_progressive,16.25,0.0014565602133682343
unet_shuffle_inception_no_progressive,58.75,1.0911657442925236e-05
unet_shuffle_inception_no_progressive,86.25,1.2195643617403238e-05
unet_shuffle_inception_no_progressive,146.25,0.2514287581307174
unet_shuffle_inception_no_progressive,201.5,0.5683590380342675
unet_shuffle_inception_no_progressive,225.0,0.789057679424807
unet_shuffle_inception_no_progressive,247.5,0.6708017792099812
unet_shuffle_inception_no_progressive,257.0,0.441074909147541
unet_shuffle_inception_no_progressive,265.75,0.500233752064482
unet_shuffle_inception_no_progressive,278.0,0.23290874837187436
unet_shuffle_inception_no_progressive,199.25,0.1003298478015544
unet_shuffle_inception_no_progressive,147.75,0.0001557112657641
unet_shuffle_inception_no_progressive,73.6666666667,1.4765816978950286e-05
unet_shuffle_inception_no_progressive,39.0,0.13504464966341403
unet_shuffle_inception_no_progressive,32.3333333333,0.00022876497962699073
unet_shuffle_inception_no_progressive,9.5,1.2015982986162028e-07
unet_shuffle_inception_no_progressive,77.25,0.003727554816642644
unet_shuffle_inception_no_progressive,93.5,9.899295078337017e-08
unet_shuffle_inception_no_progressive,30.0,2.0355254803292964e-05
unet_shuffle_inception_no_progressive,102.0,2.5941088435013358e-12
unet_shuffle_inception_no_progressive,160.666666667,9.499980930101661e-14
unet_shuffle_inception_no_progressive,307.666666667,1.90397909764966e-17
unet_shuffle_inception_no_progressive,385.666666667,8.330887068681591e-19
unet_shuffle_inception_no_progressive,437.333333333,9.748063345897436e-20
unet_shuffle_inception_no_progressive,514.0,1.0893823677818366e-11
unet_shuffle_inception_no_progressive,568.333333333,6.407028770367999e-17
unet_shuffle_inception_no_progressive,605.0,1.0977873175881342e-15
unet_shuffle_inception_no_progressive,687.666666667,3.8765870863480786e-14
unet_shuffle_inception_no_progressive,739.333333333,1.731132523933892e-13
unet_shuffle_inception_no_progressive,736.0,5.755429705297681e-14
unet_shuffle_inception_no_progressive,776.0,2.058601714071741e-13
unet_shuffle_inception_no_progressive,740.333333333,2.2015234479823227e-15
unet_shuffle_inception_no_progressive,662.0,5.479579871630064e-15
unet_shuffle_inception_no_progressive,536.333333333,9.77579429184348e-15
unet_shuffle_inception_no_progressive,393.0,4.754800796071407e-15
unet_shuffle_inception_no_progressive,316.333333333,5.791172922588994e-16
unet_shuffle_inception_no_progressive,265.333333333,1.5634803808061202e-15
unet_shuffle_inception_no_progressive,143.666666667,2.981869001734512e-16
unet_shuffle_inception_no_progressive,59.5,7.651978147644889e-07
unet_shuffle_inception_no_progressive,46.6666666667,0.1786845878317856
unet_shuffle_inception_no_progressive,26.5,2.6113196531714813e-06
unet_shuffle_inception_no_progressive,43.0,0.024584627399238872
unet_shuffle_inception_no_progressive,66.0,0.163807725795975
unet_shuffle_inception_no_progressive,36.0,5.135324233040508e-06
unet_shuffle_inception_no_progressive,18.3333333333,1.4732615320379324e-06
unet_shuffle_inception_no_progressive,79.3333333333,1.2924953769192627e-05
unet_shuffle_inception_no_progressive,31.6666666667,0.0001385269190147
unet_shuffle_inception_no_progressive,92.3333333333,0.3882323873527494
unet_shuffle_inception_no_progressive,128.0,0.31326496338193344
unet_shuffle_inception_no_progressive,154.333333333,0.3754257350461928
unet_shuffle_inception_no_progressive,89.6666666667,0.09103080679366748
unet_shuffle_inception_no_progressive,19.5,0.0016792764584850908
unet_shuffle_inception_no_progressive,143.0,0.21567156289684652
unet_shuffle_inception_no_progressive,133.333333333,0.2128234564619594
unet_shuffle_inception_no_progressive,85.6666666667,0.1537935917182901
unet_shuffle_inception_no_progressive,63.6666666667,3.7352603361832888e-06
unet_shuffle_inception_no_progressive,51.6666666667,6.2271082300100285e-06
unet_shuffle_inception_no_progressive,75.0,0.15456213269882524
unet_shuffle_inception_no_progressive,203.25,0.1787168098272082
unet_shuffle_inception_no_progressive,188.25,0.1469645721235681
unet_shuffle_inception_no_progressive,111.0,2.3798548730662367e-06
unet_shuffle_inception_no_progressive,16.3333333333,0.4211391533893335
unet_shuffle_inception_no_progressive,43.3333333333,0.1347404825897952
unet_shuffle_inception_no_progressive,134.75,1.2683018658594726e-07
unet_shuffle_inception_no_progressive,242.25,1.163557732922944e-07
unet_shuffle_inception_no_progressive,316.5,3.4124577637205773e-07
unet_shuffle_inception_no_progressive,334.8,9.173164111228632e-07
unet_shuffle_inception_no_progressive,421.6,2.786364090631307e-06
unet_shuffle_inception_no_progressive,646.5,5.777784458346581e-06
unet_shuffle_inception_no_progressive,720.75,3.010028267670091e-06
unet_shuffle_inception_no_progressive,753.5,3.266621650310623e-06
unet_shuffle_inception_no_progressive,826.5,2.2815405421758703e-06
unet_shuffle_inception_no_progressive,806.5,1.6739864376572804e-06
unet_shuffle_inception_no_progressive,736.5,4.268309069625305e-06
unet_shuffle_inception_no_progressive,697.5,4.179237386415307e-06
unet_shuffle_inception_no_progressive,659.25,5.571462006568523e-06
unet_shuffle_inception_no_progressive,560.25,1.744597339534155e-05
unet_shuffle_inception_no_progressive,466.25,7.589027924069103e-05
unet_shuffle_inception_no_progressive,347.25,0.000583897829168
unet_shuffle_inception_no_progressive,215.5,0.0007516006359187
unet_shuffle_inception_no_progressive,130.666666667,8.735279948993831e-05
unet_shuffle_inception_no_progressive,62.0,2.0489969535716806e-05
unet_shuffle_inception_no_progressive,76.0,3.771055391133512e-08
unet_shuffle_inception_no_progressive,99.0,4.379310434184929e-07
unet_shuffle_inception_no_progressive,182.0,5.5456896109697336e-08
unet_shuffle_inception_no_progressive,323.0,3.9123526504024535e-08
unet_shuffle_inception_no_progressive,472.0,3.828130144731012e-09
unet_shuffle_inception_no_progressive,506.0,7.01444418087027e-10
unet_shuffle_inception_no_progressive,529.0,1.0825736463126052e-11
unet_shuffle_inception_no_progressive,534.0,1.3189710663477715e-11
unet_shuffle_inception_no_progressive,567.0,2.6398699020643497e-11
unet_shuffle_inception_no_progressive,441.0,6.762357667569916e-11
unet_shuffle_inception_no_progressive,445.0,6.723433993862561e-11
unet_shuffle_inception_no_progressive,561.0,3.9995999679128395e-13
unet_shuffle_inception_no_progressive,589.0,1.8872501382219526e-10
unet_shuffle_inception_no_progressive,575.0,3.753064332733741e-12
unet_shuffle_inception_no_progressive,523.0,2.537065522555136e-11
unet_shuffle_inception_no_progressive,350.0,4.3236163388471254e-05
unet_shuffle_inception_no_progressive,383.0,4.051209370689531e-09
unet_shuffle_inception_no_progressive,358.0,2.8595782850158277e-08
unet_shuffle_inception_no_progressive,327.0,1.9431434813024042e-07
unet_shuffle_inception_no_progressive,290.0,3.8727083801992334e-05
unet_shuffle_inception_no_progressive,21.3333333333,9.415905734937688e-08
unet_shuffle_inception_no_progressive,56.75,1.3522792029560902e-06
unet_shuffle_inception_no_progressive,68.75,4.410552545078218e-06
unet_shuffle_inception_no_progressive,70.0,3.578014117486753e-06
unet_shuffle_inception_no_progressive,62.5,2.1058758018443062e-05
unet_shuffle_inception_no_progressive,49.75,2.13367156878874e-05
unet_shuffle_inception_no_progressive,198.0,8.49933188370848e-05
unet_shuffle_inception_no_progressive,128.5,4.023686676485532e-09
unet_shuffle_inception_no_progressive,176.5,0.0014645842080466
unet_shuffle_inception_no_progressive,177.5,2.85050145396228e-07
unet_shuffle_inception_no_progressive,205.0,6.331733925084867e-07
unet_shuffle_inception_no_progressive,189.5,0.0155575249922029
unet_shuffle_inception_no_progressive,201.0,1.035926983342022e-08
unet_shuffle_inception_no_progressive,207.5,0.0100034574875502
unet_shuffle_inception_no_progressive,175.0,1.8871780579118558e-10
unet_shuffle_inception_no_progressive,192.0,0.052145868714077726
unet_shuffle_inception_no_progressive,160.5,4.129352242082948e-12
unet_shuffle_inception_no_progressive,279.0,0.0110741353075548
unet_shuffle_inception_no_progressive,291.0,0.0072851659213215
unet_shuffle_inception_no_progressive,263.0,0.0065358596659781
unet_shuffle_inception_no_progressive,299.0,0.0180395285770483
unet_shuffle_inception_no_progressive,285.0,0.060895672181941154
unet_shuffle_inception_no_progressive,267.0,0.024606067538666
unet_shuffle_inception_no_progressive,230.0,0.0525794729766791
unet_shuffle_inception_no_progressive,216.0,0.3228562930919594
unet_shuffle_inception_no_progressive,189.0,0.0264262604694593
unet_shuffle_inception_no_progressive,187.0,0.0105116406804095
unet_shuffle_inception_no_progressive,159.0,0.15479938920308034
unet_shuffle_inception_no_progressive,148.0,0.0020252670149325
unet_shuffle_inception_no_progressive,166.0,0.0013014096088856
unet_shuffle_inception_no_progressive,106.0,6.153538216340074e-05
unet_shuffle_inception_no_progressive,19.3333333333,4.2757350070097564e-09
unet_shuffle_inception_no_progressive,24.75,7.287063819700124e-06
unet_shuffle_inception_no_progressive,31.5,9.163190537049968e-07
unet_shuffle_inception_no_progressive,23.75,6.270636651632254e-06
unet_shuffle_inception_no_progressive,69.75,0.0005857037213485
unet_shuffle_inception_no_progressive,78.25,0.0051860591327902
unet_shuffle_inception_no_progressive,83.75,0.004370054382083
unet_shuffle_inception_no_progressive,94.25,0.0020405813041357
unet_shuffle_inception_no_progressive,71.0,6.684037863548579e-05
unet_shuffle_inception_no_progressive,35.5,1.882824547985357e-07
unet_shuffle_inception_no_progressive,36.25,0.010760963139590858
unet_shuffle_inception_no_progressive,80.75,0.569056546508493
unet_shuffle_inception_no_progressive,57.5,0.0101787316478329
unet_shuffle_inception_no_progressive,93.6666666667,0.2929844957712766
unet_shuffle_inception_no_progressive,133.666666667,0.3656573772433535
unet_shuffle_inception_no_progressive,146.333333333,0.2952519149230216
unet_shuffle_inception_no_progressive,49.0,0.1150572875294751
unet_shuffle_inception_no_progressive,65.0,0.0002699962799405
unet_shuffle_inception_no_progressive,45.0,0.0046741864566516985
unet_shuffle_inception_no_progressive,53.75,0.3680942936947368
unet_shuffle_inception_no_progressive,12.5,1.0346113529364933e-06
unet_shuffle_inception_no_progressive,90.0,0.23397747032435443
unet_shuffle_inception_no_progressive,227.0,0.153218110650427
unet_shuffle_inception_no_progressive,272.0,0.1081569770948427
unet_shuffle_inception_no_progressive,265.0,0.1089075628315337
