Modality,Annotation Size,Sensitivity
lpd_unet_0_1,58.5714285714,0.2021002875931629
lpd_unet_0_1,88.5,4.718762683688038e-08
lpd_unet_0_1,35.0,6.386098168892431e-05
lpd_unet_0_1,10.0,0.00028871094922785676
lpd_unet_0_1,51.5,3.472547142673085e-06
lpd_unet_0_1,86.0,0.16757536183386315
lpd_unet_0_1,83.0,0.19559622710479274
lpd_unet_0_1,82.0,0.0913921507180807
lpd_unet_0_1,57.0,0.023867171391035807
lpd_unet_0_1,15.0,0.0006032027547628877
lpd_unet_0_1,20.0,9.422673694523943e-05
lpd_unet_0_1,22.0,0.00017506214071583723
lpd_unet_0_1,49.3333333333,3.3987939996390405e-07
lpd_unet_0_1,61.2,3.106295122299937e-06
lpd_unet_0_1,48.0,0.0002273818390638177
lpd_unet_0_1,44.3333333333,3.393234950952199e-07
lpd_unet_0_1,130.0,0.6865011361930768
lpd_unet_0_1,195.0,0.3787363555043987
lpd_unet_0_1,275.0,0.8592800625887785
lpd_unet_0_1,249.0,0.38057290774487773
lpd_unet_0_1,57.25,0.1872234973274725
lpd_unet_0_1,179.0,0.4229734062805435
lpd_unet_0_1,194.5,0.30164616838600566
lpd_unet_0_1,4.0,0.0001540908691958839
lpd_unet_0_1,11.0,0.00013928337674678056
lpd_unet_0_1,31.0,0.0006209564185562607
lpd_unet_0_1,55.6666666667,0.0009874553980513
lpd_unet_0_1,76.6666666667,0.0023460812173665
lpd_unet_0_1,95.3333333333,0.0137991000522403
lpd_unet_0_1,94.5,0.011983743655967
lpd_unet_0_1,80.5,0.0058816878486891
lpd_unet_0_1,69.5,0.0047219104829247
lpd_unet_0_1,53.0,0.00078105063074165
lpd_unet_0_1,41.5,0.0009921480058954458
lpd_unet_0_1,24.5,0.00046858923622369636
lpd_unet_0_1,49.5,0.0014165450496743
lpd_unet_0_1,53.5,0.0001425113592895
lpd_unet_0_1,87.0,0.103888340999108
lpd_unet_0_1,2.0,0.0002970609184665
lpd_unet_0_1,3.0,0.00021951931471495
lpd_unet_0_1,9.0,0.00022685140492772322
lpd_unet_0_1,92.0,0.00424040535789905
lpd_unet_0_1,88.0,0.0018072988511559
lpd_unet_0_1,116.0,0.14216332409982244
lpd_unet_0_1,64.0,0.08282330815754828
lpd_unet_0_1,37.0,0.00024103693594017915
lpd_unet_0_1,25.0,0.09017059975842988
lpd_unet_0_1,8.0,0.0007829074327211653
lpd_unet_0_1,220.25,0.3732166550168815
lpd_unet_0_1,434.5,0.5495687939671772
lpd_unet_0_1,464.25,0.5460183132146982
