patient_index,Sensitivity,Specificity,DICE,C
LIDC-IDRI-0998,0.03428204960140326,0.998754061906652,0.002588690616356556,0_6
LIDC-IDRI-0999,0.0001401907105464459,0.9998626864228718,9.738818833789738e-06,0_6
LIDC-IDRI-1000,0.0783651488145473,0.999682010223176,0.014346648821330792,0_6
LIDC-IDRI-1001,2.497886676282083e-07,0.9993293936586108,5.011159351763114e-09,0_6
LIDC-IDRI-1002,0.17676814979491337,0.9991568270955797,0.050693034828220115,0_6
LIDC-IDRI-1003,0.2073864929427372,0.9994884709948898,0.034912084525934445,0_6
LIDC-IDRI-1004,0.09890424499235982,0.9998442880221928,0.014806621855155416,0_6
LIDC-IDRI-1005,0.03667510400675549,0.9991574668501974,0.00165249499294397,0_6
LIDC-IDRI-1006,0.00013801474850263154,0.9994857279020438,1.419154293094761e-06,0_6
LIDC-IDRI-1007,0.3152189696661646,0.9995923208066494,0.030955426245757384,0_6
LIDC-IDRI-1008,0.00015926753884214247,0.9996613235274753,2.8768641927339605e-05,0_6
LIDC-IDRI-1009,1.2754698781672917e-05,0.9991562384330949,1.8437081042741223e-06,0_6
LIDC-IDRI-1010,0.0006646618099134011,0.9997415370888404,1.032768628744865e-05,0_6
LIDC-IDRI-1011,0.3412653837371037,0.9994802457547226,0.06021161698556019,0_6
LIDC-IDRI-0926,2.0509829882874564e-06,0.9998525389251735,1.0870016412539545e-07,0_7
LIDC-IDRI-0928,0.00026601993544712275,0.9998744378125138,8.049172188244666e-06,0_7
LIDC-IDRI-0929,4.288383515934913e-05,0.9998324878907203,1.3233363036972163e-06,0_7
LIDC-IDRI-0932,8.489645332271637e-09,0.9998238115906343,3.5145880961259034e-10,0_7
LIDC-IDRI-0933,0.08899494422705315,0.9997703728699772,0.01080991592247132,0_7
LIDC-IDRI-0935,0.12885021996275328,0.9997270757158515,0.016663812461514108,0_7
LIDC-IDRI-0936,0.09268434258589534,0.99996572970798,0.009988031580933896,0_7
LIDC-IDRI-0938,0.2521475714365709,0.9999155672392813,0.009608893017443797,0_7
LIDC-IDRI-0939,0.0029874968999366786,0.9999367547113805,0.0003969841845725746,0_7
LIDC-IDRI-0940,0.038866595878643564,0.999910502215261,0.0034355988928180927,0_7
LIDC-IDRI-0941,4.283578236009308e-06,0.9999232470502385,1.208428263732429e-07,0_7
LIDC-IDRI-0942,0.2719735332777704,0.9992734913927138,0.03453622549375292,0_7
LIDC-IDRI-0943,3.720259753791405e-06,0.9999596147237578,6.495778649093369e-08,0_7
LIDC-IDRI-0944,3.4110127054617236e-07,0.999349128024079,2.2234090977776163e-08,0_7
LIDC-IDRI-0945,0.7125983422494557,0.9997959245011064,0.01267144187310623,0_7
LIDC-IDRI-0946,0.31769151284195496,0.999469872289664,0.01038637597095101,0_7
LIDC-IDRI-0947,0.0005456461549889748,0.9999068412597121,0.00012123315580757556,0_7
LIDC-IDRI-0949,0.22353175072727652,0.9998064992331014,0.02150430822309618,0_7
LIDC-IDRI-0950,0.0002126232934294622,0.9999265367040745,5.493516925243802e-06,0_7
LIDC-IDRI-0951,0.05892067420762564,0.9998608254208132,0.0019012922663583377,0_7
LIDC-IDRI-0953,0.00934651805051571,0.9999073580805554,0.00033510888624865826,0_7
LIDC-IDRI-0955,8.740763210077964e-06,0.9999647035071927,2.1558216982631805e-07,0_7
LIDC-IDRI-0956,0.000693257224061825,0.999911361680018,4.0197102773627406e-05,0_7
LIDC-IDRI-0957,2.100744182562643e-08,0.9995282833374424,8.299306175202676e-10,0_7
LIDC-IDRI-0958,0.03430269785658724,0.9998076780630677,0.002362838125967151,0_7
LIDC-IDRI-0959,6.63331765104023e-05,0.9999702114400402,1.3591454097860526e-06,0_7
LIDC-IDRI-0961,0.019833401802897395,0.9998432577320814,0.0031675871028126177,0_7
LIDC-IDRI-0962,0.025272702359057247,0.9997478362894389,0.002390659465259334,0_7
LIDC-IDRI-0963,6.6780886325983e-05,0.9999527812446743,1.297714040548001e-06,0_7
LIDC-IDRI-0965,0.24112538555447732,0.9998313212606563,0.015043829935933688,0_7
LIDC-IDRI-0966,0.00021863484192204024,0.9999662271697547,1.4535621540090131e-05,0_7
LIDC-IDRI-0968,0.08878038314103424,0.9997372405556527,0.010254102542466271,0_7
LIDC-IDRI-0969,0.00019848301382405963,0.999915206222836,8.568717841880444e-06,0_7
LIDC-IDRI-0971,1.4754845898677566e-08,0.9999504343830729,8.686637699879268e-10,0_7
LIDC-IDRI-0972,0.004652891741720265,0.9998673483505539,0.0006422823202958641,0_7
LIDC-IDRI-0973,0.010129056441262977,0.9998270703171546,0.0018068486620215942,0_7
LIDC-IDRI-0974,0.1688041533639497,0.9997759661401657,0.014429710153370428,0_7
LIDC-IDRI-0976,1.77904971738771e-05,0.9998241703893072,2.099090545088461e-06,0_7
LIDC-IDRI-0977,1.3358875600306963e-07,0.9999314805607782,3.823754573709152e-09,0_7
LIDC-IDRI-0978,0.054583775705800114,0.999621084691671,0.016712008620547694,0_7
LIDC-IDRI-0980,0.09204770588565564,0.9997916122179363,0.010318351691650175,0_7
LIDC-IDRI-0981,0.00564134715946012,0.9997199877755277,0.00014135098509142176,0_7
LIDC-IDRI-0982,0.11138894099326561,0.9998701809539564,0.008583721088096186,0_7
LIDC-IDRI-0983,0.0006264189225741618,0.9998201725227447,2.8039271600487045e-05,0_7
LIDC-IDRI-0984,0.0002009351878502727,0.9999670954391467,7.139069017003317e-06,0_7
LIDC-IDRI-0985,5.34862855597982e-09,0.999857157962905,5.347037450938189e-10,0_7
LIDC-IDRI-0986,0.3515134107620786,0.9995342676713499,0.014108373335055263,0_7
LIDC-IDRI-0987,0.0006657422619807537,0.9999625239588541,4.8960703951447785e-05,0_7
LIDC-IDRI-0989,2.1964294194538488e-07,0.9997269067704634,4.462934341211662e-09,0_7
LIDC-IDRI-0990,3.55332520090773e-05,0.9993897954403882,1.016955878507172e-06,0_7
LIDC-IDRI-0991,1.1803195954087722e-05,0.999932767314508,1.1567486827978151e-07,0_7
LIDC-IDRI-0993,0.5841101714382637,0.9998473574861214,0.01746980155885257,0_7
LIDC-IDRI-0994,0.08638656478831938,0.9998576025579533,0.01702732283680512,0_7
LIDC-IDRI-0996,1.609076262721535e-07,0.9995818973656324,3.116763251993755e-09,0_7
LIDC-IDRI-0997,6.604702725441981e-07,0.9998578089481437,5.625813249132835e-08,0_7
LIDC-IDRI-0998,0.0332728280678656,0.9992425167349211,0.003148808952394861,0_7
LIDC-IDRI-0999,0.00021114137246284822,0.9999158544944932,1.66033148264802e-05,0_7
LIDC-IDRI-1000,0.13881823653801956,0.9998644592580183,0.02341915682589839,0_7
LIDC-IDRI-1001,9.78795978090475e-07,0.9997263542030348,5.668520955994333e-08,0_7
LIDC-IDRI-1002,0.1092409508027726,0.999576437731681,0.03240222688588557,0_7
