Modality,Annotation Size,TN
lpd_unet_0_1,19.3333333333,261962.328125
lpd_unet_0_1,24.75,262022.7421875
lpd_unet_0_1,31.5,261965.890625
lpd_unet_0_1,23.75,262009.765625
lpd_unet_0_1,69.75,262043.703125
lpd_unet_0_1,78.25,262051.5
lpd_unet_0_1,83.75,262064.5
lpd_unet_0_1,94.25,262015.90625
lpd_unet_0_1,71.0,262072.0625
lpd_unet_0_1,35.5,262116.0
lpd_unet_0_1,36.25,261927.53125
lpd_unet_0_1,80.75,261773.0625
lpd_unet_0_1,57.5,262058.0625
lpd_unet_0_1,93.6666666667,261955.53125
lpd_unet_0_1,133.666666667,261923.515625
lpd_unet_0_1,146.333333333,261977.671875
lpd_unet_0_1,49.0,262074.890625
lpd_unet_0_1,65.0,262074.3125
lpd_unet_0_1,45.0,262063.25
lpd_unet_0_1,53.75,262051.140625
lpd_unet_0_1,12.5,262112.6953125
lpd_unet_0_1,90.0,262005.296875
lpd_unet_0_1,227.0,261667.4375
lpd_unet_0_1,272.0,261604.28125
lpd_unet_0_1,265.0,261590.5
lpd_unet_0_1,162.0,261868.328125
lpd_unet_0_1,67.0,262068.65625
lpd_unet_0_1,45.3333333333,262071.125
lpd_unet_0_1,11.25,261771.0
lpd_unet_0_1,47.5,261837.640625
lpd_unet_0_1,48.5,261738.75
lpd_unet_0_1,30.5,261782.546875
lpd_unet_0_1,212.0,261854.25
lpd_unet_0_1,169.0,261885.83854166666
lpd_unet_0_1,79.5,261282.25
lpd_unet_0_1,34.25,262091.234375
lpd_unet_0_1,26.3333333333,262103.578125
lpd_unet_0_1,20.5,262077.328125
lpd_unet_0_1,17.5,261761.09375
lpd_unet_0_1,8.5,262104.875
lpd_unet_0_1,26.6666666667,262095.15625
lpd_unet_0_1,49.6666666667,262067.75
lpd_unet_0_1,45.6666666667,262070.453125
lpd_unet_0_1,27.3333333333,262103.484375
lpd_unet_0_1,52.6666666667,262076.890625
lpd_unet_0_1,39.6666666667,262112.046875
lpd_unet_0_1,14.3333333333,261944.8125
lpd_unet_0_1,179.666666667,261694.09375
lpd_unet_0_1,268.333333333,261779.75
lpd_unet_0_1,55.0,262087.96875
lpd_unet_0_1,6.5,262099.4375
lpd_unet_0_1,39.5,262063.90625
lpd_unet_0_1,38.25,260634.609375
lpd_unet_0_1,61.25,260736.640625
lpd_unet_0_1,85.75,260793.984375
lpd_unet_0_1,98.75,261181.890625
lpd_unet_0_1,97.25,261437.84375
lpd_unet_0_1,66.75,261820.90625
lpd_unet_0_1,41.3333333333,261984.265625
lpd_unet_0_1,84.0,261880.703125
lpd_unet_0_1,108.666666667,261868.25
lpd_unet_0_1,149.0,261691.46875
lpd_unet_0_1,163.666666667,261699.65625
lpd_unet_0_1,159.666666667,261746.3125
lpd_unet_0_1,190.333333333,261874.578125
lpd_unet_0_1,260.333333333,261838.578125
lpd_unet_0_1,304.0,261643.625
lpd_unet_0_1,272.666666667,261835.109375
lpd_unet_0_1,233.0,261785.75
lpd_unet_0_1,243.0,261751.6875
lpd_unet_0_1,253.0,261844.265625
lpd_unet_0_1,238.0,261738.921875
lpd_unet_0_1,227.333333333,261767.421875
lpd_unet_0_1,250.0,261685.4375
lpd_unet_0_1,136.0,261845.15625
lpd_unet_0_1,58.0,261978.453125
lpd_unet_0_1,94.6666666667,262022.140625
lpd_unet_0_1,118.333333333,262020.84375
lpd_unet_0_1,121.333333333,261954.4375
lpd_unet_0_1,321.666666667,261810.890625
lpd_unet_0_1,367.666666667,261708.28125
lpd_unet_0_1,413.333333333,261690.8359375
lpd_unet_0_1,362.333333333,261761.484375
lpd_unet_0_1,346.0,261682.40625
lpd_unet_0_1,339.666666667,261758.234375
lpd_unet_0_1,341.0,261718.28125
lpd_unet_0_1,240.0,261798.65625
lpd_unet_0_1,228.666666667,261828.46875
lpd_unet_0_1,200.0,261906.671875
lpd_unet_0_1,217.333333333,261871.25
lpd_unet_0_1,196.666666667,261890.0
lpd_unet_0_1,173.5,261918.71875
lpd_unet_0_1,142.0,261984.34375
lpd_unet_0_1,168.0,261958.65625
lpd_unet_0_1,193.0,261933.9375
lpd_unet_0_1,146.0,261980.46875
lpd_unet_0_1,158.0,261966.328125
lpd_unet_0_1,81.0,262033.4140625
lpd_unet_0_1,48.75,261869.46875
lpd_unet_0_1,75.25,261823.953125
lpd_unet_0_1,62.75,261949.3984375
lpd_unet_0_1,56.25,262061.28125
lpd_unet_0_1,37.75,262081.984375
lpd_unet_0_1,96.0,262005.375
lpd_unet_0_1,156.0,261934.8671875
lpd_unet_0_1,145.0,261958.21875
lpd_unet_0_1,171.0,261934.984375
lpd_unet_0_1,87.5,261815.75
lpd_unet_0_1,38.6666666667,262062.1015625
lpd_unet_0_1,163.0,261362.953125
lpd_unet_0_1,131.5,261390.28125
lpd_unet_0_1,108.5,262014.046875
lpd_unet_0_1,57.6666666667,262055.3125
lpd_unet_0_1,46.0,262091.375
lpd_unet_0_1,64.5,262070.8125
lpd_unet_0_1,60.75,262085.65625
lpd_unet_0_1,35.3333333333,262024.453125
lpd_unet_0_1,24.6666666667,261854.234375
lpd_unet_0_1,42.6666666667,262109.3125
lpd_unet_0_1,27.75,262078.328125
lpd_unet_0_1,167.0,262074.71875
lpd_unet_0_1,241.0,261726.453125
lpd_unet_0_1,223.75,261754.875
lpd_unet_0_1,179.333333333,261883.546875
lpd_unet_0_1,45.75,262109.203125
lpd_unet_0_1,35.6666666667,261878.75
lpd_unet_0_1,166.25,261681.28125
lpd_unet_0_1,250.25,261639.78125
lpd_unet_0_1,303.75,261509.296875
lpd_unet_0_1,366.5,261457.34375
lpd_unet_0_1,436.75,261502.15625
lpd_unet_0_1,486.25,261392.703125
lpd_unet_0_1,550.25,261385.46875
lpd_unet_0_1,547.75,261361.609375
lpd_unet_0_1,557.75,261366.21875
lpd_unet_0_1,555.25,261419.328125
lpd_unet_0_1,541.0,261481.34375
lpd_unet_0_1,520.0,261532.046875
